Participant,Age,Religion,Nature_close,Sen_seek,Community,Rel_growth,Spirit_growth,Seek_life
1,60,Christian,4.666666667,3.5,2.333333333,1.333333333,4.2,5.25
2,29,Christian,4,4.166666667,3,2.166666667,4,3.75
3,33,Christian,2.333333333,2.166666667,1,2.333333333,5.2,5.5
4,30,Christian,4,4.833333333,3,3.5,4.6,6
5,27,Atheist,4,5.333333333,1.666666667,1.5,4.4,1.75
6,26,Atheist,4,4.333333333,1.666666667,1.5,5.8,4
7,49,Christian,1.666666667,1.5,1,5.666666667,3.2,3
8,55,Christian,5.333333333,2.666666667,2,3.666666667,3.8,3.75
9,19,Christian,4.333333333,4.5,2.666666667,3.833333333,5.2,5.5
10,46,Christian,4.666666667,4.333333333,3,3.085666667,5.8,4.75
11,22,Christian,1.666666667,3.5,1.666666667,1,1.6,1.25
12,22,Christian,4.333333333,5.333333333,2,2,4.8,4.75
13,34,Christian,2.958333333,4,2.333333333,1,1.8,1
14,63,Christian,5,3.666666667,2.253,1.666666667,2.8,1.5
15,27,Atheist,5.333333333,4.5,1.333333333,2.333333333,5.6,4.5
16,20,Atheist,4.333333333,4.166666667,2.666666667,2.333333333,5.6,4.25
17,66,Christian,4.333333333,3.666666667,2.253,1.166666667,3,1.25
18,24,Christian,3.666666667,4.666666667,1,1.666666667,3.8,2.75
19,40,Christian,5.333333333,3.333333333,2,5,5,4
20,46,Christian,5.333333333,5.5,3.666666667,3.666666667,4.2,3.75
21,54,Christian,4.333333333,4.166666667,1.666666667,2.833333333,2.2,1.25
22,38,Christian,4.333333333,3.833333333,1,2,1.6,1.75
23,56,Christian,4.333333333,3.5,2.666666667,3.666666667,2.6,2.25
24,25,Christian,4.666666667,4.833333333,1.333333333,3.806666667,5.4,4.5
25,44,Christian,5.333333333,4.166666667,4,4.666666667,5.4,4.5
26,19,Christian,3,4.666666667,2,2.166666667,4,5.25
27,24,Christian,3.333333333,3.166666667,3.333333333,4.5,4,3.75
28,45,Christian,5.666666667,4,4,3.5,3.6,2.25
29,28,Christian,4.333333333,5.333333333,3,2.166666667,4.6,3.75
30,30,Christian,4.666666667,4.166666667,2.666666667,2.333333333,4.2,5.25
31,42,Atheist,5.333333333,5,3.333333333,3.833333333,4.8,2.75
32,30,Atheist,3.666666667,4.333333333,1.666666667,1.166666667,3.2,3.25
33,48,Atheist,4,4,2.333333333,1,3.2,1.75
34,45,Christian,2.333333333,5.666666667,2.666666667,1.666666667,2.6,1.5
35,66,Christian,3.666666667,2.166666667,2.666666667,3,3,2.25
36,30,Atheist,4.333333333,3.666666667,3.333333333,2.166666667,3.6,3
37,25,Atheist,4.333333333,5.166666667,4,3.166666667,4,2.75
38,59,Christian,6,2,4.333333333,6,4,1.75
39,21,Christian,4.666666667,5.833333333,1.666666667,2.166666667,2.8,4
40,20,Atheist,1.333333333,2.666666667,1,1,1.8,2.25
42,24,Christian,4.666666667,5,3.333333333,2.333333333,2.8,3
43,49,Christian,2.333333333,2.833333333,1,5.166666667,2.4,1
44,33,Christian,5,5,1.666666667,5.5,5.2,4.75
45,37,Christian,3.666666667,3.666666667,2,2.333333333,3.6,3
