Participant,Age,Religion,Motivation_subscale,Average_rating
1,60,Christian,Nature_close,4.666666667
1,60,Christian,Sen_seek,3.5
1,60,Christian,Community,2.333333333
1,60,Christian,Rel_growth,1.333333333
1,60,Christian,Spirit_growth,4.2
1,60,Christian,Seek_life,5.25
2,29,Christian,Nature_close,4
2,29,Christian,Sen_seek,4.166666667
2,29,Christian,Community,3
2,29,Christian,Rel_growth,2.166666667
2,29,Christian,Spirit_growth,4
2,29,Christian,Seek_life,3.75
3,33,Christian,Nature_close,2.333333333
3,33,Christian,Sen_seek,2.166666667
3,33,Christian,Community,1
3,33,Christian,Rel_growth,2.333333333
3,33,Christian,Spirit_growth,5.2
3,33,Christian,Seek_life,5.5
4,30,Christian,Nature_close,4
4,30,Christian,Sen_seek,4.833333333
4,30,Christian,Community,3
4,30,Christian,Rel_growth,3.5
4,30,Christian,Spirit_growth,4.6
4,30,Christian,Seek_life,6
5,27,Atheist,Nature_close,4
5,27,Atheist,Sen_seek,5.333333333
5,27,Atheist,Community,1.666666667
5,27,Atheist,Rel_growth,1.5
5,27,Atheist,Spirit_growth,4.4
5,27,Atheist,Seek_life,1.75
6,26,Atheist,Nature_close,4
6,26,Atheist,Sen_seek,4.333333333
6,26,Atheist,Community,1.666666667
6,26,Atheist,Rel_growth,1.5
6,26,Atheist,Spirit_growth,5.8
6,26,Atheist,Seek_life,4
7,49,Christian,Nature_close,1.666666667
7,49,Christian,Sen_seek,1.5
7,49,Christian,Community,1
7,49,Christian,Rel_growth,5.666666667
7,49,Christian,Spirit_growth,3.2
7,49,Christian,Seek_life,3
8,55,Christian,Nature_close,5.333333333
8,55,Christian,Sen_seek,2.666666667
8,55,Christian,Community,2
8,55,Christian,Rel_growth,3.666666667
8,55,Christian,Spirit_growth,3.8
8,55,Christian,Seek_life,3.75
9,19,Christian,Nature_close,4.333333333
9,19,Christian,Sen_seek,4.5
9,19,Christian,Community,2.666666667
9,19,Christian,Rel_growth,3.833333333
9,19,Christian,Spirit_growth,5.2
9,19,Christian,Seek_life,5.5
10,46,Christian,Nature_close,4.666666667
10,46,Christian,Sen_seek,4.333333333
10,46,Christian,Community,3
10,46,Christian,Rel_growth,3.085666667
10,46,Christian,Spirit_growth,5.8
10,46,Christian,Seek_life,4.75
11,22,Christian,Nature_close,1.666666667
11,22,Christian,Sen_seek,3.5
11,22,Christian,Community,1.666666667
11,22,Christian,Rel_growth,1
11,22,Christian,Spirit_growth,1.6
11,22,Christian,Seek_life,1.25
12,22,Christian,Nature_close,4.333333333
12,22,Christian,Sen_seek,5.333333333
12,22,Christian,Community,2
12,22,Christian,Rel_growth,2
12,22,Christian,Spirit_growth,4.8
