ACCIDENT_INDEX,ACCIDENT_SEVERITY,SPEED_LIMIT,DAY_OF_WEEK
201497AB00106,Serious,30,Sunday
201497AB00109,Slight,30,Monday
201497AB00110,Slight,30,Friday
201497AB00201,Slight,30,Tuesday
201497AB00203,Slight,30,Sunday
201497AB00205,Slight,50,Sunday
201497AB00212,Slight,30,Monday
201497AB00307,Serious,30,Saturday
201497AB00402,Slight,30,Thursday
201497AB00406,Slight,30,Thursday
201497AB00407,Slight,30,Saturday
201497AB00411,Slight,30,Sunday
201497AB00503,Slight,30,Thursday
201497AB00506,Slight,30,Friday
201497AB00508,Slight,30,Tuesday
201497AB00510,Slight,30,Tuesday
201497AB00511,Slight,30,Monday
201497AB00602,Slight,30,Monday
201497AB00607,Slight,30,Tuesday
201497AB00701,Slight,30,Monday
201497AB00702,Serious,30,Tuesday
201497AB00806,Slight,30,Monday
201497AB00807,Serious,30,Wednesday
201497AB00812,Slight,30,Saturday
201497AB00903,Slight,50,Sunday
201497AB00904,Slight,30,Tuesday
201497AB00905,Slight,30,Friday
201497AB01002,Slight,30,Friday
201497AB01007,Slight,30,Friday
201497AB01008,Slight,30,Friday
201497AB01011,Slight,30,Friday
201497AB01012,Slight,30,Saturday
201497AB01103,Slight,30,Wednesday
201497AB01104,Slight,30,Friday
201497AB01108,Slight,30,Sunday
201497AB01112,Slight,30,Saturday
201497AB01203,Slight,50,Friday
201497AB01207,Slight,30,Friday
201497AB01304,Slight,30,Sunday
201497AB01401,Slight,30,Wednesday
201497AB01406,Slight,30,Monday
201497AB01409,Slight,30,Friday
201497AB01411,Slight,30,Saturday
201497AB01501,Slight,30,Saturday
201497AB01512,Slight,30,Friday
201497AB01608,Serious,30,Monday
201497AB01610,Slight,30,Sunday
201497AB01703,Serious,30,Wednesday
201497AB01704,Slight,30,Monday
201497AB01710,Slight,30,Tuesday
201497AB01803,Slight,30,Thursday
201497AB01806,Slight,30,Wednesday
201497AB01906,Serious,30,Tuesday
201497AB01907,Slight,30,Tuesday
201497AB01909,Slight,30,Tuesday
201497AB02005,Slight,30,Friday
201497AB02009,Slight,30,Friday
201497AB02103,Slight,30,Friday
201497AB02207,Slight,30,Saturday
201497AB02209,Slight,30,Sunday
201497AB02210,Slight,30,Saturday
201497AB02212,Slight,30,Friday
201497AB02306,Slight,30,Saturday
201497AB02307,Slight,30,Saturday
201497AB02309,Slight,30,Sunday
201497AB02409,Slight,30,Monday
201497AB02503,Slight,30,Monday
201497AB02505,Slight,30,Friday
201497AB02603,Slight,30,Tuesday
201497AB02705,Slight,30,Saturday
201497AB02707,Slight,30,Wednesday
201497AB02711,Slight,30,Friday
201497AB02802,Slight,30,Saturday
201497AB02808,Slight,30,Saturday
201497AB02901,Slight,30,Tuesday
201497AB02902,Slight,30,Friday
201497AB02903,Slight,30,Wednesday
201497AB02907,Slight,30,Friday
201497AB02909,Slight,30,Friday
201497AB03005,Slight,30,Wednesday
201497AB03011,Slight,30,Monday
201497AB03101,Slight,70,Tuesday
201497AB03103,Serious,30,Friday
201497AB03108,Slight,30,Tuesday
201497AB03110,Slight,30,Saturday
201497AB03307,Slight,30,Sunday
201497AB03407,Slight,30,Monday
201497AB03408,Slight,30,Thursday
201497AB03507,Slight,30,Saturday
201497AB03512,Fatal,30,Monday
201497AB03607,Serious,30,Monday
201497AB03608,Slight,30,Friday
201497AB03611,Slight,30,Sunday
201497AB03807,Slight,30,Tuesday
201497AB03808,Slight,30,Monday
201497AB03811,Serious,30,Thursday
201497AB03908,Slight,30,Saturday
201497AB04007,Slight,30,Friday
201497AB04212,Slight,30,Wednesday
201497AB04307,Slight,30,Thursday
201497AB05007,Slight,50,Tuesday
201497AB70103,Slight,30,Saturday
201497AB70104,Slight,30,Wednesday
201497AB70108,Serious,30,Thursday
201497AB70109,Slight,50,Saturday
201497AB70110,Slight,50,Saturday
201497AB70111,Slight,30,Tuesday
201497AB70112,Serious,30,Thursday
201497AB70201,Slight,30,Monday
201497AB70206,Slight,30,Saturday
201497AB70209,Slight,30,Wednesday
201497AB70308,Slight,50,Sunday
201497AB70309,Slight,50,Monday
201497AB70402,Slight,50,Thursday
201497AB70405,Slight,30,Saturday
201497AB70406,Slight,30,Wednesday
201497AB70407,Slight,70,Sunday
201497AB70409,Serious,30,Monday
201497AB70410,Slight,50,Thursday
201497AB70507,Serious,30,Tuesday
201497AB70510,Slight,30,Saturday
201497AB70610,Slight,30,Monday
201497AB70702,Slight,30,Monday
201497AB70710,Slight,50,Tuesday
201497AB70810,Slight,30,Wednesday
201497AB71110,Serious,30,Monday
201497AC00110,Slight,30,Sunday
201497AC00201,Slight,30,Friday
201497AC00211,Slight,30,Wednesday
201497AC00302,Slight,50,Monday
201497AC00303,Slight,50,Monday
201497AC00306,Slight,30,Friday
201497AC00308,Serious,30,Tuesday
201497AC00402,Slight,30,Wednesday
201497AC00404,Slight,30,Saturday
201497AC00406,Slight,30,Wednesday
201497AC00407,Slight,30,Friday
201497AC00409,Slight,30,Monday
201497AC00412,Slight,50,Saturday
201497AC00504,Slight,50,Thursday
201497AC00506,Serious,30,Thursday
201497AC00510,Serious,30,Monday
201497AC00603,Slight,30,Saturday
201497AC00604,Serious,30,Thursday
201497AC00605,Slight,30,Saturday
201497AC00606,Slight,30,Sunday
201497AC00608,Serious,30,Monday
201497AC00612,Serious,30,Wednesday
201497AC00706,Slight,50,Monday
201497AC00709,Slight,30,Sunday
201497AC00710,Slight,30,Monday
201497AC00804,Slight,30,Friday
201497AC00806,Serious,30,Tuesday
201497AC00808,Slight,30,Tuesday
201497AC00809,Slight,30,Wednesday
201497AC00810,Slight,30,Sunday
201497AC00811,Slight,30,Saturday
201497AC00902,Slight,50,Wednesday
201497AC00906,Slight,30,Wednesday
201497AC00909,Slight,30,Saturday
201497AC01003,Slight,30,Tuesday
201497AC01005,Slight,30,Wednesday
201497AC01009,Slight,30,Tuesday
201497AC01106,Slight,30,Thursday
201497AC01107,Serious,30,Thursday
201497AC01108,Slight,30,Tuesday
