location,date,age_group,people_fully_vaccinated_per_hundred
Denmark,2021-01-01,15-17,0
Denmark,2021-01-01,18-24,0
Denmark,2021-01-01,25-49,0
Denmark,2021-01-01,50-59,0
Denmark,2021-01-01,60-69,0
Denmark,2021-01-01,70-79,0
Denmark,2021-01-01,80+,0
Denmark,2021-01-08,15-17,0
Denmark,2021-01-08,18-24,0
Denmark,2021-01-08,25-49,0
Denmark,2021-01-08,50-59,0
Denmark,2021-01-08,60-69,0
Denmark,2021-01-08,70-79,0
Denmark,2021-01-08,80+,0
Denmark,2021-01-15,15-17,0
Denmark,2021-01-15,18-24,0
Denmark,2021-01-15,25-49,0.01
Denmark,2021-01-15,50-59,0.02
Denmark,2021-01-15,60-69,0.01
Denmark,2021-01-15,70-79,0.01
Denmark,2021-01-15,80+,0.04
Denmark,2021-01-22,15-17,0
Denmark,2021-01-22,18-24,0.09
Denmark,2021-01-22,25-49,0.39
Denmark,2021-01-22,50-59,0.57
Denmark,2021-01-22,60-69,0.6
Denmark,2021-01-22,70-79,0.44
Denmark,2021-01-22,80+,2.1
Denmark,2021-01-29,15-17,0
Denmark,2021-01-29,18-24,0.31
Denmark,2021-01-29,25-49,1.3
Denmark,2021-01-29,50-59,1.97
Denmark,2021-01-29,60-69,2.03
Denmark,2021-01-29,70-79,1.24
Denmark,2021-01-29,80+,5.77
Denmark,2021-02-05,15-17,0
Denmark,2021-02-05,18-24,0.49
Denmark,2021-02-05,25-49,2.04
Denmark,2021-02-05,50-59,2.95
Denmark,2021-02-05,60-69,3.21
Denmark,2021-02-05,70-79,2.35
Denmark,2021-02-05,80+,9.69
Denmark,2021-02-12,15-17,0.01
Denmark,2021-02-12,18-24,0.6
Denmark,2021-02-12,25-49,2.52
Denmark,2021-02-12,50-59,3.5
Denmark,2021-02-12,60-69,3.8
Denmark,2021-02-12,70-79,2.85
Denmark,2021-02-12,80+,11.54
Denmark,2021-02-19,15-17,0.01
Denmark,2021-02-19,18-24,0.64
Denmark,2021-02-19,25-49,2.65
Denmark,2021-02-19,50-59,3.66
Denmark,2021-02-19,60-69,3.97
Denmark,2021-02-19,70-79,3.04
Denmark,2021-02-19,80+,11.8
Denmark,2021-02-26,15-17,0.01
Denmark,2021-02-26,18-24,0.7
Denmark,2021-02-26,25-49,2.77
Denmark,2021-02-26,50-59,3.82
Denmark,2021-02-26,60-69,4.16
Denmark,2021-02-26,70-79,3.29
Denmark,2021-02-26,80+,12.57
Denmark,2021-03-05,15-17,0.02
Denmark,2021-03-05,18-24,0.73
Denmark,2021-03-05,25-49,2.87
Denmark,2021-03-05,50-59,3.95
Denmark,2021-03-05,60-69,4.32
Denmark,2021-03-05,70-79,3.49
Denmark,2021-03-05,80+,17.05
Denmark,2021-03-12,15-17,0.02
Denmark,2021-03-12,18-24,0.81
Denmark,2021-03-12,25-49,3.01
Denmark,2021-03-12,50-59,4.21
Denmark,2021-03-12,60-69,4.76
